12:00:23:515 [ALWAYS]	GUDE Logging Started
12:00:23:515 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:00:23:515 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:00:23:515 [ERROR]	Initialize resume cache pointer failure
12:00:23:515 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
12:00:23:515 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
12:00:25:062 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
12:00:25:062 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:00:25:062 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:00:25:062 [ERROR]	Initialize resume cache pointer failure
12:00:25:062 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
12:00:25:063 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
